140000722     1427003704002259                                402104-0.0007.01348
140000723     1427003704002260                                402104-0.0008.01827
140000724     1427003704002261                                402104-0.0009.02025
140000725     1427003704002262                                402104-0.0010.02039
140000726     1427003704002263                                402104-0.0011.02132
140000727     1427003704002264                                402104-0.0012.02394
140000728     1427003704002265                                402104-0.0013.02409
140000729     1427003704002266                                402104-0.0014.02479
140000730     1427003704002267                                402104-0.0015.02507
140000731     1427003704002268                                402104-0.0016.03153
140000732     1427003704002269                                402104-0.0017.03292
140000733     1427003704002270                                402104-0.0018.03533
140000734     1427003704002271                                402104-0.0019.04096
140000735     1427003704002272                                402104-0.0020.04106
140000736     1427003704002273                                402104-0.0021.04216
140000737     1427003704002274                                402104-0.0022.04240
140000738     1427003704002275                                402104-0.0023.04537
140000739     1427003704002276                                402104-0.0024.04726
140000740     1427003704002277                                402104-0.0025.04870
140000741     1427003704002278                                402104-0.0026.05157
140000742     1427003704002279                                402105-0.0001.00001
140000743     1427003704002280                                402105-0.0002.01341
140000744     1427003704002281                                402105-0.0003.02393
140000745     1427003704002282                                402105-0.0004.03827
140000746     1427003704002283                                402105-0.0005.03851
140000747     1427003704002284                                402106-0.0001.00001
140000748     1427003704002285                                402106-0.0002.01062
140000749     1427003704002286                                402106-0.0003.02120
140000750     1427003704002287                                402106-0.0004.02174
140000751     1427003704002288                                402106-0.0005.02237
140000752     1427003704002289                                402106-0.0006.02302
140000753     1427003704002290                                402106-0.0007.02637
140000754     1427003704002291                                402106-0.0008.03424
140000755     1427003704002292                                402106-0.0009.03661
140000756     1427003704002293                                402106-0.0010.03730
140000757     1427003704002294                                402106-0.0011.04197
140000758     1427003704002295                                402106-0.0012.04323
140000759     1427003704002296                                402106-0.0013.04394
140000760     1427003704002297                                402106-0.0014.04880
140000761     1427003704002298                                402106-0.0015.04990
140000762     1427003704002299                                402106-0.0016.05071
140000763     1427003704002300                                402106-0.0017.05091
140000764     1427003704002301                                402106-0.0018.05136
140000765     1427003704002302                                402106-0.0019.05146
140000766     1427003704002303                                402107-0.0001.00001
140000767     1427003704002304                                402107-0.0002.01400
140000768     1427003704002305                                402107-0.0003.02657
140000769     1427003704002306                                402107-0.0004.02720
140000770     1427003704002307                                402107-0.0005.03404
140000771     1427003704002308                                402107-0.0006.03422
140000772     1427003704002309                                402107-0.0007.03485
140000773     1427003704002310                                402107-0.0008.03515
140000774     1427003704002311                                402107-0.0009.03581
140000775     1427003704002312                                402107-0.0010.03647
140000776     1427003704002313                                402107-0.0011.03740
140000777     1427003704002314                                402107-0.0012.03806
140000778     1427003704002315                                402107-0.0013.03835
140000779     1427003704002316                                402107-0.0014.03868
140000780     1427003704002317                                402107-0.0015.03901
140000781     1427003704002318                                402107-0.0016.03933
140000782     1427003704002319                                402107-0.0017.03964
140000783     1427003704002320                                402107-0.0018.04017
140000784     1427003704002321                                402107-0.0019.04071
140000785     1427003704002322                                402107-0.0020.04129
140000786     1427003704002323                                402107-0.0021.04169
140000787     1427003704002324                                402107-0.0022.04188
140000788     1427003704002325                                402107-0.0023.04220
140000789     1427003704002326                                402107-0.0024.04254
140000790     1427003704002327                                402107-0.0025.04309
140000791     1427003704002328                                402107-0.0026.04339
140000792     1427003704002329                                402107-0.0027.04388
140000793     1427003704002330                                402107-0.0028.04400
140000794     1427003704002331                                402107-0.0029.04411
140000795     1427003704002332                                402107-0.0030.04440
140000796     1427003704002333                                402107-0.0031.04578
140000797     1427003704002334                                402107-0.0032.04763
140000798     1427003704002335                                402107-0.0033.04864
140000799     1427003704002336                                402107-0.0034.04903
140000800     1427003704002337                                402107-0.0035.04959
140000801     1427003704002338                                402108-0.0001.00001
140000802     1427003704002339                                402108-0.0002.00685
140000803     1427003704002340                                402108-0.0003.00831
140000804     1427003704002341                                402108-0.0004.00916
140000805     1427003704002342                                402108-0.0005.00939
140000806     1427003704002343                                402108-0.0006.00965
140000807     1427003704002344                                402108-0.0007.00991
